FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VS
 V A V
1 0 -1.0672E-09 0
2 -1 -3.63941E-07 0
3 -2 -7.08338E-07 0
4 -3 -1.03888E-06 0
5 -4 -1.35394E-06 0
6 -5 -1.65192E-06 0
7 -6 -1.9343E-06 0
8 -7 -2.20391E-06 0
9 -8 -2.46008E-06 0
10 -9 -2.70444E-06 0
11 -10 -2.93581E-06 0
12 -11 -3.15591E-06 0
13 -12 -3.36489E-06 0
14 -13 -3.56262E-06 0
15 -14 -3.74993E-06 0
16 -15 -3.9268E-06 0
17 -16 -4.09423E-06 0
18 -17 -4.25217E-06 0
19 -18 -4.40131E-06 0
20 -19 -4.5409E-06 0
21 -20 -4.6724E-06 0
22 -21 -4.79579E-06 0
23 -22 -4.91092E-06 0
24 -23 -5.01855E-06 0
25 -24 -5.11894E-06 0
26 -25 -5.21251E-06 0
27 -26 -5.29886E-06 0
28 -27 -5.3791E-06 0
29 -28 -5.45352E-06 0
30 -29 -5.52269E-06 0
31 -30 -5.58671E-06 0
32 -31 -5.64471E-06 0
33 -32 -5.69857E-06 0
34 -33 -5.74775E-06 0
35 -34 -5.79309E-06 0
36 -35 -5.83485E-06 0
37 -36 -5.87391E-06 0
38 -37 -5.90912E-06 0
39 -38 -5.94138E-06 0
40 -39 -5.97109E-06 0
41 -40 -5.99839E-06 0
42 -41 -6.02377E-06 0
43 -42 -6.04696E-06 0
44 -43 -6.06863E-06 0
45 -44 -6.08852E-06 0
46 -45 -6.10674E-06 0
47 -46 -6.12432E-06 0
48 -47 -6.14031E-06 0
49 -48 -6.15492E-06 0
50 -49 -6.16897E-06 0
51 -50 -6.18168E-06 0
52 -51 -6.19475E-06 0
53 -52 -6.20678E-06 0
54 -53 -6.21785E-06 0
55 -54 -6.22824E-06 0
56 -55 -6.23937E-06 0
57 -56 -6.24858E-06 0
58 -57 -6.25796E-06 0
59 -58 -6.26762E-06 0
60 -59 -6.27624E-06 0
61 -60 -6.28428E-06 0
62 -61 -6.29256E-06 0
63 -62 -6.30032E-06 0
64 -63 -6.30736E-06 0
65 -64 -6.3151E-06 0
66 -65 -6.32192E-06 0
67 -66 -6.32897E-06 0
68 -67 -6.3359E-06 0
69 -68 -6.34188E-06 0
70 -69 -6.34791E-06 0
71 -70 -6.35419E-06 0
72 -71 -6.36086E-06 0
73 -72 -6.3661E-06 0
74 -73 -6.37235E-06 0
75 -74 -6.37729E-06 0
76 -75 -6.38246E-06 0
77 -76 -6.38735E-06 0
78 -77 -6.39338E-06 0
79 -78 -6.39833E-06 0
80 -79 -6.40354E-06 0
81 -80 -6.40859E-06 0
82 0 3.9631E-09 0
83 -1 -4.09217E-07 0
84 -2 -7.91288E-07 0
85 -3 -1.15489E-06 0
86 -4 -1.50378E-06 0
87 -5 -1.83383E-06 0
88 -6 -2.14579E-06 0
89 -7 -2.44358E-06 0
90 -8 -2.72585E-06 0
91 -9 -2.99528E-06 0
92 -10 -3.2499E-06 0
93 -11 -3.49251E-06 0
94 -12 -3.72254E-06 0
95 -13 -3.9395E-06 0
96 -14 -4.14535E-06 0
97 -15 -4.33913E-06 0
98 -16 -4.52217E-06 0
99 -17 -4.69524E-06 0
100 -18 -4.85756E-06 0
101 -19 -5.01048E-06 0
102 -20 -5.15441E-06 0
103 -21 -5.28852E-06 0
104 -22 -5.41392E-06 0
105 -23 -5.53044E-06 0
106 -24 -5.6396E-06 0
107 -25 -5.74071E-06 0
108 -26 -5.83496E-06 0
109 -27 -5.92165E-06 0
110 -28 -6.00114E-06 0
111 -29 -6.07446E-06 0
112 -30 -6.1426E-06 0
113 -31 -6.20466E-06 0
114 -32 -6.26129E-06 0
115 -33 -6.31408E-06 0
116 -34 -6.36152E-06 0
117 -35 -6.40529E-06 0
118 -36 -6.44472E-06 0
119 -37 -6.48233E-06 0
120 -38 -6.51507E-06 0
121 -39 -6.54618E-06 0
122 -40 -6.57306E-06 0
123 -41 -6.598E-06 0
124 -42 -6.62097E-06 0
125 -43 -6.64176E-06 0
126 -44 -6.66102E-06 0
127 -45 -6.67861E-06 0
128 -46 -6.69477E-06 0
129 -47 -6.70983E-06 0
130 -48 -6.72374E-06 0
131 -49 -6.73703E-06 0
132 -50 -6.74903E-06 0
133 -51 -6.76043E-06 0
134 -52 -6.77045E-06 0
135 -53 -6.78091E-06 0
136 -54 -6.78951E-06 0
137 -55 -6.79866E-06 0
138 -56 -6.80653E-06 0
139 -57 -6.81537E-06 0
140 -58 -6.82172E-06 0
141 -59 -6.82958E-06 0
142 -60 -6.83663E-06 0
143 -61 -6.84288E-06 0
144 -62 -6.8495E-06 0
145 -63 -6.85567E-06 0
146 -64 -6.8619E-06 0
147 -65 -6.86743E-06 0
148 -66 -6.87225E-06 0
149 -67 -6.87747E-06 0
150 -68 -6.88279E-06 0
151 -69 -6.88806E-06 0
152 -70 -6.89339E-06 0
153 -71 -6.89794E-06 0
154 -72 -6.90266E-06 0
155 -73 -6.90771E-06 0
156 -74 -6.91156E-06 0
157 -75 -6.91634E-06 0
158 -76 -6.92153E-06 0
159 -77 -6.92528E-06 0
160 -78 -6.92901E-06 0
161 -79 -6.93305E-06 0
162 -80 -6.93615E-06 0
163 0 4.1274E-09 0
164 -1 -4.30437E-07 0
165 -2 -8.32985E-07 0
166 -3 -1.21644E-06 0
167 -4 -1.58517E-06 0
168 -5 -1.93426E-06 0
169 -6 -2.26489E-06 0
170 -7 -2.58125E-06 0
171 -8 -2.8814E-06 0
172 -9 -3.1688E-06 0
173 -10 -3.44067E-06 0
174 -11 -3.7002E-06 0
175 -12 -3.94644E-06 0
176 -13 -4.17905E-06 0
177 -14 -4.40036E-06 0
178 -15 -4.60881E-06 0
179 -16 -4.80615E-06 0
180 -17 -4.99202E-06 0
181 -18 -5.1684E-06 0
182 -19 -5.33396E-06 0
183 -20 -5.48971E-06 0
184 -21 -5.63549E-06 0
185 -22 -5.77245E-06 0
186 -23 -5.89938E-06 0
187 -24 -6.01883E-06 0
188 -25 -6.12882E-06 0
189 -26 -6.23161E-06 0
190 -27 -6.32657E-06 0
191 -28 -6.41539E-06 0
192 -29 -6.49705E-06 0
193 -30 -6.57163E-06 0
194 -31 -6.6403E-06 0
195 -32 -6.70371E-06 0
196 -33 -6.76134E-06 0
197 -34 -6.81329E-06 0
198 -35 -6.86242E-06 0
199 -36 -6.90647E-06 0
200 -37 -6.94642E-06 0
201 -38 -6.98341E-06 0
202 -39 -7.01658E-06 0
203 -40 -7.04717E-06 0
204 -41 -7.07574E-06 0
205 -42 -7.10018E-06 0
206 -43 -7.12353E-06 0
207 -44 -7.1452E-06 0
208 -45 -7.16381E-06 0
209 -46 -7.18196E-06 0
210 -47 -7.19793E-06 0
211 -48 -7.21226E-06 0
212 -49 -7.22643E-06 0
213 -50 -7.23914E-06 0
214 -51 -7.25073E-06 0
215 -52 -7.26166E-06 0
216 -53 -7.27258E-06 0
217 -54 -7.28271E-06 0
218 -55 -7.29217E-06 0
219 -56 -7.30075E-06 0
220 -57 -7.30889E-06 0
221 -58 -7.31614E-06 0
222 -59 -7.32366E-06 0
223 -60 -7.3316E-06 0
224 -61 -7.33857E-06 0
225 -62 -7.34506E-06 0
226 -63 -7.35119E-06 0
227 -64 -7.35646E-06 0
228 -65 -7.36197E-06 0
229 -66 -7.36778E-06 0
230 -67 -7.37368E-06 0
231 -68 -7.37858E-06 0
232 -69 -7.38356E-06 0
233 -70 -7.38822E-06 0
234 -71 -7.39306E-06 0
235 -72 -7.39761E-06 0
236 -73 -7.40087E-06 0
237 -74 -7.40614E-06 0
238 -75 -7.41096E-06 0
239 -76 -7.41527E-06 0
240 -77 -7.41951E-06 0
241 -78 -7.42269E-06 0
242 -79 -7.42641E-06 0
243 -80 -7.43111E-06 0
244 0 4.0149E-09 0
245 -1 -4.49266E-07 0
246 -2 -8.69573E-07 0
247 -3 -1.27058E-06 0
248 -4 -1.65707E-06 0
249 -5 -2.02345E-06 0
250 -6 -2.37127E-06 0
251 -7 -2.70471E-06 0
252 -8 -3.02159E-06 0
253 -9 -3.32477E-06 0
254 -10 -3.61257E-06 0
255 -11 -3.88673E-06 0
256 -12 -4.14817E-06 0
257 -13 -4.39567E-06 0
258 -14 -4.63147E-06 0
259 -15 -4.85423E-06 0
260 -16 -5.06504E-06 0
261 -17 -5.26421E-06 0
262 -18 -5.45286E-06 0
263 -19 -5.63036E-06 0
264 -20 -5.79787E-06 0
265 -21 -5.95495E-06 0
266 -22 -6.10298E-06 0
267 -23 -6.24062E-06 0
268 -24 -6.36997E-06 0
269 -25 -6.48982E-06 0
270 -26 -6.60315E-06 0
271 -27 -6.70732E-06 0
272 -28 -6.80366E-06 0
273 -29 -6.89313E-06 0
274 -30 -6.97555E-06 0
275 -31 -7.05149E-06 0
276 -32 -7.12107E-06 0
277 -33 -7.1855E-06 0
278 -34 -7.24356E-06 0
279 -35 -7.29659E-06 0
280 -36 -7.34593E-06 0
281 -37 -7.39153E-06 0
282 -38 -7.43226E-06 0
283 -39 -7.46927E-06 0
284 -40 -7.50305E-06 0
285 -41 -7.53466E-06 0
286 -42 -7.56224E-06 0
287 -43 -7.58841E-06 0
288 -44 -7.61228E-06 0
289 -45 -7.63378E-06 0
290 -46 -7.65384E-06 0
291 -47 -7.67161E-06 0
292 -48 -7.68832E-06 0
293 -49 -7.70301E-06 0
294 -50 -7.71831E-06 0
295 -51 -7.73163E-06 0
296 -52 -7.7433E-06 0
297 -53 -7.7548E-06 0
298 -54 -7.76568E-06 0
299 -55 -7.77673E-06 0
300 -56 -7.78501E-06 0
301 -57 -7.79442E-06 0
302 -58 -7.8026E-06 0
303 -59 -7.81008E-06 0
304 -60 -7.81801E-06 0
305 -61 -7.82657E-06 0
306 -62 -7.83353E-06 0
307 -63 -7.84079E-06 0
308 -64 -7.84619E-06 0
309 -65 -7.85268E-06 0
310 -66 -7.86004E-06 0
311 -67 -7.86593E-06 0
312 -68 -7.87255E-06 0
313 -69 -7.87869E-06 0
314 -70 -7.88436E-06 0
315 -71 -7.88994E-06 0
316 -72 -7.89521E-06 0
317 -73 -7.90416E-06 0
318 -74 -7.90858E-06 0
319 -75 -7.91557E-06 0
320 -76 -7.92184E-06 0
321 -77 -7.92869E-06 0
322 -78 -7.93385E-06 0
323 -79 -7.94128E-06 0
324 -80 -7.94567E-06 0
325 0 3.1241E-09 0
326 -1 -4.67373E-07 0
327 -2 -9.05506E-07 0
328 -3 -1.32385E-06 0
329 -4 -1.72797E-06 0
330 -5 -2.11161E-06 0
331 -6 -2.47628E-06 0
332 -7 -2.826E-06 0
333 -8 -3.15914E-06 0
334 -9 -3.47774E-06 0
335 -10 -3.78119E-06 0
336 -11 -4.07211E-06 0
337 -12 -4.34922E-06 0
338 -13 -4.61113E-06 0
339 -14 -4.86126E-06 0
340 -15 -5.09811E-06 0
341 -16 -5.32366E-06 0
342 -17 -5.53666E-06 0
343 -18 -5.73818E-06 0
344 -19 -5.92778E-06 0
345 -20 -6.10709E-06 0
346 -21 -6.27593E-06 0
347 -22 -6.43519E-06 0
348 -23 -6.58388E-06 0
349 -24 -6.72434E-06 0
350 -25 -6.85447E-06 0
351 -26 -6.97594E-06 0
352 -27 -7.08935E-06 0
353 -28 -7.19533E-06 0
354 -29 -7.29278E-06 0
355 -30 -7.38223E-06 0
356 -31 -7.46567E-06 0
357 -32 -7.54293E-06 0
358 -33 -7.61355E-06 0
359 -34 -7.67864E-06 0
360 -35 -7.73862E-06 0
361 -36 -7.79273E-06 0
362 -37 -7.84243E-06 0
363 -38 -7.90193E-06 0
364 -39 -7.95129E-06 0
365 -40 -7.99625E-06 0
366 -41 -8.03703E-06 0
367 -42 -8.07361E-06 0
368 -43 -8.10627E-06 0
369 -44 -8.13573E-06 0
370 -45 -8.16314E-06 0
371 -46 -8.18748E-06 0
372 -47 -8.20947E-06 0
373 -48 -8.22882E-06 0
374 -49 -8.24762E-06 0
375 -50 -8.2651E-06 0
376 -51 -8.27973E-06 0
377 -52 -8.29467E-06 0
378 -53 -8.30865E-06 0
379 -54 -8.32044E-06 0
380 -55 -8.33188E-06 0
381 -56 -8.34235E-06 0
382 -57 -8.35307E-06 0
383 -58 -8.36132E-06 0
384 -59 -8.37065E-06 0
385 -60 -8.37954E-06 0
386 -61 -8.38689E-06 0
387 -62 -8.39403E-06 0
388 -63 -8.40019E-06 0
389 -64 -8.40885E-06 0
390 -65 -8.41521E-06 0
391 -66 -8.42106E-06 0
392 -67 -8.42645E-06 0
393 -68 -8.4331E-06 0
394 -69 -8.43874E-06 0
395 -70 -8.4433E-06 0
396 -71 -8.44845E-06 0
397 -72 -8.45348E-06 0
398 -73 -8.45854E-06 0
399 -74 -8.46305E-06 0
400 -75 -8.46691E-06 0
401 -76 -8.47108E-06 0
402 -77 -8.47624E-06 0
403 -78 -8.47962E-06 0
404 -79 -8.48402E-06 0
405 -80 -8.48779E-06 0
406 0 2.7859E-09 0
407 -1 -4.86182E-07 0
408 -2 -9.4254E-07 0
409 -3 -1.37908E-06 0
410 -4 -1.80128E-06 0
411 -5 -2.20216E-06 0
412 -6 -2.584E-06 0
413 -7 -2.95088E-06 0
414 -8 -3.30093E-06 0
415 -9 -3.63693E-06 0
416 -10 -3.95639E-06 0
417 -11 -4.26266E-06 0
418 -12 -4.55514E-06 0
419 -13 -4.83244E-06 0
420 -14 -5.09744E-06 0
421 -15 -5.34892E-06 0
422 -16 -5.5885E-06 0
423 -17 -5.81456E-06 0
424 -18 -6.03021E-06 0
425 -19 -6.23225E-06 0
426 -20 -6.42419E-06 0
427 -21 -6.60464E-06 0
428 -22 -6.77501E-06 0
429 -23 -6.93468E-06 0
430 -24 -7.08555E-06 0
431 -25 -7.22665E-06 0
432 -26 -7.35815E-06 0
433 -27 -7.48074E-06 0
434 -28 -7.59482E-06 0
435 -29 -7.70067E-06 0
436 -30 -7.79921E-06 0
437 -31 -7.88998E-06 0
438 -32 -7.99032E-06 0
439 -33 -8.07674E-06 0
440 -34 -8.15691E-06 0
441 -35 -8.22868E-06 0
442 -36 -8.29315E-06 0
443 -37 -8.35173E-06 0
444 -38 -8.40488E-06 0
445 -39 -8.45359E-06 0
446 -40 -8.49842E-06 0
447 -41 -8.53651E-06 0
448 -42 -8.57322E-06 0
449 -43 -8.60685E-06 0
450 -44 -8.63666E-06 0
451 -45 -8.66395E-06 0
452 -46 -8.68924E-06 0
453 -47 -8.71288E-06 0
454 -48 -8.73254E-06 0
455 -49 -8.75246E-06 0
456 -50 -8.77024E-06 0
457 -51 -8.78558E-06 0
458 -52 -8.80184E-06 0
459 -53 -8.81486E-06 0
460 -54 -8.82679E-06 0
461 -55 -8.83952E-06 0
462 -56 -8.85067E-06 0
463 -57 -8.86117E-06 0
464 -58 -8.86971E-06 0
465 -59 -8.87959E-06 0
466 -60 -8.88779E-06 0
467 -61 -8.89503E-06 0
468 -62 -8.90231E-06 0
469 -63 -8.9092E-06 0
470 -64 -8.91599E-06 0
471 -65 -8.92233E-06 0
472 -66 -8.92822E-06 0
473 -67 -8.93462E-06 0
474 -68 -8.94066E-06 0
475 -69 -8.94632E-06 0
476 -70 -8.95178E-06 0
477 -71 -8.95848E-06 0
478 -72 -8.96173E-06 0
479 -73 -8.96735E-06 0
480 -74 -8.97181E-06 0
481 -75 -8.97489E-06 0
482 -76 -8.97875E-06 0
483 -77 -8.98272E-06 0
484 -78 -8.9853E-06 0
485 -79 -8.99054E-06 0
486 -80 -8.99317E-06 0
487 0 2.7267E-09 0
488 -1 -5.03655E-07 0
489 -2 -9.76851E-07 0
490 -3 -1.42999E-06 0
491 -4 -1.86876E-06 0
492 -5 -2.28647E-06 0
493 -6 -2.68479E-06 0
494 -7 -3.06748E-06 0
495 -8 -3.43325E-06 0
496 -9 -3.78484E-06 0
497 -10 -4.11913E-06 0
498 -11 -4.44065E-06 0
499 -12 -4.74725E-06 0
500 -13 -5.03993E-06 0
501 -14 -5.31913E-06 0
502 -15 -5.58454E-06 0
503 -16 -5.83791E-06 0
504 -17 -6.07781E-06 0
505 -18 -6.30641E-06 0
506 -19 -6.5215E-06 0
507 -20 -6.72578E-06 0
508 -21 -6.91762E-06 0
509 -22 -7.10032E-06 0
510 -23 -7.27071E-06 0
511 -24 -7.43279E-06 0
512 -25 -7.58253E-06 0
513 -26 -7.72349E-06 0
514 -27 -7.85562E-06 0
515 -28 -7.99662E-06 0
516 -29 -8.12136E-06 0
517 -30 -8.23451E-06 0
518 -31 -8.3386E-06 0
519 -32 -8.4356E-06 0
520 -33 -8.52351E-06 0
521 -34 -8.60323E-06 0
522 -35 -8.67783E-06 0
523 -36 -8.74587E-06 0
524 -37 -8.80746E-06 0
525 -38 -8.86561E-06 0
526 -39 -8.91789E-06 0
527 -40 -8.96569E-06 0
528 -41 -9.00874E-06 0
529 -42 -9.04834E-06 0
530 -43 -9.08394E-06 0
531 -44 -9.11695E-06 0
532 -45 -9.14562E-06 0
533 -46 -9.17402E-06 0
534 -47 -9.19928E-06 0
535 -48 -9.22185E-06 0
536 -49 -9.24373E-06 0
537 -50 -9.26224E-06 0
538 -51 -9.27818E-06 0
539 -52 -9.29482E-06 0
540 -53 -9.30846E-06 0
541 -54 -9.32204E-06 0
542 -55 -9.33428E-06 0
543 -56 -9.34617E-06 0
544 -57 -9.35724E-06 0
545 -58 -9.3671E-06 0
546 -59 -9.37654E-06 0
547 -60 -9.38678E-06 0
548 -61 -9.39431E-06 0
549 -62 -9.40215E-06 0
550 -63 -9.41062E-06 0
551 -64 -9.41631E-06 0
552 -65 -9.42322E-06 0
553 -66 -9.43023E-06 0
554 -67 -9.43591E-06 0
555 -68 -9.44279E-06 0
556 -69 -9.44721E-06 0
557 -70 -9.45273E-06 0
558 -71 -9.45892E-06 0
559 -72 -9.46369E-06 0
560 -73 -9.46834E-06 0
561 -74 -9.47318E-06 0
562 -75 -9.47826E-06 0
563 -76 -9.48138E-06 0
564 -77 -9.48584E-06 0
565 -78 -9.48957E-06 0
566 -79 -9.49464E-06 0
567 -80 -9.49818E-06 0
568 0 2.5097E-09 0
569 -1 -5.20477E-07 0
570 -2 -1.0118E-06 0
571 -3 -1.49076E-06 0
572 -4 -1.94236E-06 0
573 -5 -2.37714E-06 0
574 -6 -2.79225E-06 0
575 -7 -3.19196E-06 0
576 -8 -3.5738E-06 0
577 -9 -3.94122E-06 0
578 -10 -4.29153E-06 0
579 -11 -4.62824E-06 0
580 -12 -4.95063E-06 0
581 -13 -5.25729E-06 0
582 -14 -5.55146E-06 0
583 -15 -5.83109E-06 0
584 -16 -6.09773E-06 0
585 -17 -6.35046E-06 0
586 -18 -6.59251E-06 0
587 -19 -6.82032E-06 0
588 -20 -7.03624E-06 0
589 -21 -7.24066E-06 0
590 -22 -7.4341E-06 0
591 -23 -7.61622E-06 0
592 -24 -7.78749E-06 0
593 -25 -7.9653E-06 0
594 -26 -8.12465E-06 0
595 -27 -8.27297E-06 0
596 -28 -8.41099E-06 0
597 -29 -8.53819E-06 0
598 -30 -8.65704E-06 0
599 -31 -8.7664E-06 0
