FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VDS
 V A V
1 0 -7.076E-10 0
2 -1 -2.11782E-07 -1
3 -2 -4.07484E-07 -2
4 -3 -5.90195E-07 -3
5 -4 -7.59287E-07 -4
6 -5 -9.16927E-07 -5
7 -6 -1.06219E-06 -6
8 -7 -1.19416E-06 -7
9 -8 -1.31477E-06 -8
10 -9 -1.42572E-06 -9
11 -10 -1.52708E-06 -10
12 -11 -1.61973E-06 -11
13 -12 -1.70388E-06 -12
14 -13 -1.78022E-06 -13
15 -14 -1.84937E-06 -14
16 -15 -1.91132E-06 -15
17 -16 -1.96736E-06 -16
18 -17 -2.01708E-06 -17
19 -18 -2.06199E-06 -18
20 -19 -2.10167E-06 -19
21 -20 -2.13713E-06 -20
22 -21 -2.16837E-06 -21
23 -22 -2.19585E-06 -22
24 -23 -2.22081E-06 -23
25 -24 -2.24291E-06 -24
26 -25 -2.2624E-06 -25
27 -26 -2.28E-06 -26
28 -27 -2.29519E-06 -27
29 -28 -2.30893E-06 -28
30 -29 -2.32104E-06 -29
31 -30 -2.33193E-06 -30
32 -31 -2.34147E-06 -31
33 -32 -2.35023E-06 -32
34 -33 -2.35836E-06 -33
35 -34 -2.36548E-06 -34
36 -35 -2.37192E-06 -35
37 -36 -2.37812E-06 -36
38 -37 -2.38421E-06 -37
39 -38 -2.38952E-06 -38
40 -39 -2.39424E-06 -39
41 -40 -2.39898E-06 -40
42 -41 -2.40317E-06 -41
43 -42 -2.40714E-06 -42
44 -43 -2.41146E-06 -43
45 -44 -2.41495E-06 -44
46 -45 -2.41862E-06 -45
47 -46 -2.42217E-06 -46
48 -47 -2.42533E-06 -47
49 -48 -2.42831E-06 -48
50 -49 -2.43168E-06 -49
51 -50 -2.43491E-06 -50
52 -51 -2.4376E-06 -51
53 -52 -2.44E-06 -52
54 -53 -2.44318E-06 -53
55 -54 -2.44588E-06 -54
56 -55 -2.44808E-06 -55
57 -56 -2.45064E-06 -56
58 -57 -2.45324E-06 -57
59 -58 -2.45541E-06 -58
60 -59 -2.45791E-06 -59
61 -60 -2.46018E-06 -60
62 -61 -2.46254E-06 -61
63 -62 -2.4648E-06 -62
64 -63 -2.4673E-06 -63
65 -64 -2.4693E-06 -64
66 -65 -2.47146E-06 -65
67 -66 -2.47344E-06 -66
68 -67 -2.47526E-06 -67
69 -68 -2.47708E-06 -68
70 -69 -2.47926E-06 -69
71 -70 -2.48086E-06 -70
72 -71 -2.48275E-06 -71
73 -72 -2.48493E-06 -72
74 -73 -2.48678E-06 -73
75 -74 -2.48889E-06 -74
76 -75 -2.4904E-06 -75
77 -76 -2.49203E-06 -76
78 -77 -2.49392E-06 -77
79 -78 -2.49555E-06 -78
80 -79 -2.49714E-06 -79
81 -80 -2.49884E-06 -80
82 0 1.645E-09 0
83 -1 -2.46351E-07 -1
84 -2 -4.72487E-07 -2
85 -3 -6.82388E-07 -3
86 -4 -8.75846E-07 -4
87 -5 -1.05641E-06 -5
88 -6 -1.2234E-06 -6
89 -7 -1.37712E-06 -7
90 -8 -1.51818E-06 -8
91 -9 -1.64847E-06 -9
92 -10 -1.76749E-06 -10
93 -11 -1.87695E-06 -11
94 -12 -1.97666E-06 -12
95 -13 -2.06718E-06 -13
96 -14 -2.1493E-06 -14
97 -15 -2.22345E-06 -15
98 -16 -2.2901E-06 -16
99 -17 -2.34982E-06 -17
100 -18 -2.40341E-06 -18
101 -19 -2.45087E-06 -19
102 -20 -2.4935E-06 -20
103 -21 -2.53082E-06 -21
104 -22 -2.5641E-06 -22
105 -23 -2.59345E-06 -23
106 -24 -2.61933E-06 -24
107 -25 -2.64158E-06 -25
