FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VG
 V A V
1 0 -7.577E-10 0
2 -1 -2.6309E-07 0
3 -2 -5.1025E-07 0
4 -3 -7.45477E-07 0
5 -4 -9.67928E-07 0
6 -5 -1.17951E-06 0
7 -6 -1.37707E-06 0
8 -7 -1.56243E-06 0
9 -8 -1.73703E-06 0
10 -9 -1.90196E-06 0
11 -10 -2.05682E-06 0
12 -11 -2.20296E-06 0
13 -12 -2.34067E-06 0
14 -13 -2.46974E-06 0
15 -14 -2.59084E-06 0
16 -15 -2.70362E-06 0
17 -16 -2.80896E-06 0
18 -17 -2.90752E-06 0
19 -18 -2.9987E-06 0
20 -19 -3.08336E-06 0
21 -20 -3.16127E-06 0
22 -21 -3.23342E-06 0
23 -22 -3.29911E-06 0
24 -23 -3.35993E-06 0
25 -24 -3.41519E-06 0
26 -25 -3.46577E-06 0
27 -26 -3.51202E-06 0
28 -27 -3.55332E-06 0
29 -28 -3.59124E-06 0
30 -29 -3.62532E-06 0
31 -30 -3.65597E-06 0
32 -31 -3.68343E-06 0
33 -32 -3.70867E-06 0
34 -33 -3.73115E-06 0
35 -34 -3.75135E-06 0
36 -35 -3.77E-06 0
37 -36 -3.7859E-06 0
38 -37 -3.80078E-06 0
39 -38 -3.81403E-06 0
40 -39 -3.82634E-06 0
41 -40 -3.83744E-06 0
42 -41 -3.84764E-06 0
43 -42 -3.85714E-06 0
44 -43 -3.86586E-06 0
45 -44 -3.87371E-06 0
46 -45 -3.88112E-06 0
47 -46 -3.88835E-06 0
48 -47 -3.89447E-06 0
49 -48 -3.90058E-06 0
50 -49 -3.90614E-06 0
51 -50 -3.91188E-06 0
52 -51 -3.91757E-06 0
53 -52 -3.92236E-06 0
54 -53 -3.92686E-06 0
55 -54 -3.93153E-06 0
56 -55 -3.93577E-06 0
57 -56 -3.93957E-06 0
58 -57 -3.94347E-06 0
59 -58 -3.94689E-06 0
60 -59 -3.95124E-06 0
61 -60 -3.95463E-06 0
62 -61 -3.95794E-06 0
63 -62 -3.96053E-06 0
64 -63 -3.96374E-06 0
65 -64 -3.9674E-06 0
66 -65 -3.97009E-06 0
67 -66 -3.97283E-06 0
68 -67 -3.97558E-06 0
69 -68 -3.97816E-06 0
70 -69 -3.98117E-06 0
71 -70 -3.98358E-06 0
72 -71 -3.98605E-06 0
73 -72 -3.98849E-06 0
74 -73 -3.99072E-06 0
75 -74 -3.99287E-06 0
76 -75 -3.99512E-06 0
77 -76 -3.99774E-06 0
78 -77 -4.00011E-06 0
79 -78 -4.00159E-06 0
80 -79 -4.00434E-06 0
81 -80 -4.00588E-06 0
82 0 5.5616E-09 -1
83 -1 -2.96035E-07 -1
84 -2 -5.7102E-07 -1
85 -3 -8.28577E-07 -1
86 -4 -1.07065E-06 -1
87 -5 -1.30331E-06 -1
88 -6 -1.51893E-06 -1
89 -7 -1.72296E-06 -1
90 -8 -1.91443E-06 -1
91 -9 -2.09539E-06 -1
92 -10 -2.26551E-06 -1
93 -11 -2.42587E-06 -1
94 -12 -2.57658E-06 -1
95 -13 -2.71736E-06 -1
96 -14 -2.84964E-06 -1
97 -15 -2.9726E-06 -1
98 -16 -3.08835E-06 -1
99 -17 -3.19581E-06 -1
100 -18 -3.29583E-06 -1
101 -19 -3.38783E-06 -1
102 -20 -3.47305E-06 -1
103 -21 -3.55178E-06 -1
104 -22 -3.62391E-06 -1
105 -23 -3.68951E-06 -1
106 -24 -3.75013E-06 -1
107 -25 -3.80454E-06 -1
108 -26 -3.85405E-06 -1
109 -27 -3.89897E-06 -1
110 -28 -3.93971E-06 -1
111 -29 -3.97616E-06 -1
112 -30 -4.00922E-06 -1
113 -31 -4.03821E-06 -1
114 -32 -4.06435E-06 -1
115 -33 -4.08832E-06 -1
116 -34 -4.1095E-06 -1
117 -35 -4.12824E-06 -1
118 -36 -4.14498E-06 -1
119 -37 -4.15993E-06 -1
120 -38 -4.17351E-06 -1
121 -39 -4.18508E-06 -1
122 -40 -4.19594E-06 -1
123 -41 -4.20534E-06 -1
124 -42 -4.21491E-06 -1
125 -43 -4.22271E-06 -1
126 -44 -4.23032E-06 -1
127 -45 -4.23647E-06 -1
128 -46 -4.24288E-06 -1
129 -47 -4.24878E-06 -1
130 -48 -4.25402E-06 -1
131 -49 -4.25883E-06 -1
132 -50 -4.26339E-06 -1
133 -51 -4.26775E-06 -1
134 -52 -4.27174E-06 -1
135 -53 -4.27577E-06 -1
136 -54 -4.27948E-06 -1
137 -55 -4.28295E-06 -1
138 -56 -4.28621E-06 -1
139 -57 -4.28931E-06 -1
140 -58 -4.29176E-06 -1
141 -59 -4.29492E-06 -1
142 -60 -4.29738E-06 -1
143 -61 -4.3006E-06 -1
144 -62 -4.30328E-06 -1
145 -63 -4.30582E-06 -1
146 -64 -4.30792E-06 -1
147 -65 -4.31041E-06 -1
148 -66 -4.31242E-06 -1
149 -67 -4.31448E-06 -1
150 -68 -4.31703E-06 -1
151 -69 -4.31965E-06 -1
152 -70 -4.32115E-06 -1
153 -71 -4.32302E-06 -1
154 -72 -4.32483E-06 -1
155 -73 -4.32709E-06 -1
156 -74 -4.32924E-06 -1
157 -75 -4.33044E-06 -1
158 -76 -4.33253E-06 -1
159 -77 -4.33463E-06 -1
160 -78 -4.33607E-06 -1
161 -79 -4.33766E-06 -1
162 -80 -4.33922E-06 -1
163 0 6.1149E-09 -2
164 -1 -3.12168E-07 -2
165 -2 -6.01541E-07 -2
166 -3 -8.7339E-07 -2
167 -4 -1.12932E-06 -2
168 -5 -1.37627E-06 -2
169 -6 -1.60506E-06 -2
170 -7 -1.8223E-06 -2
171 -8 -2.02667E-06 -2
172 -9 -2.22031E-06 -2
173 -10 -2.40167E-06 -2
174 -11 -2.57386E-06 -2
175 -12 -2.73559E-06 -2
176 -13 -2.88714E-06 -2
177 -14 -3.02965E-06 -2
178 -15 -3.16312E-06 -2
179 -16 -3.2877E-06 -2
180 -17 -3.40408E-06 -2
181 -18 -3.51286E-06 -2
182 -19 -3.61316E-06 -2
183 -20 -3.70641E-06 -2
184 -21 -3.79285E-06 -2
185 -22 -3.87226E-06 -2
186 -23 -3.9446E-06 -2
187 -24 -4.01137E-06 -2
188 -25 -4.07132E-06 -2
189 -26 -4.12644E-06 -2
190 -27 -4.17666E-06 -2
191 -28 -4.22205E-06 -2
192 -29 -4.26323E-06 -2
193 -30 -4.29992E-06 -2
194 -31 -4.33318E-06 -2
195 -32 -4.36299E-06 -2
196 -33 -4.38923E-06 -2
197 -34 -4.41299E-06 -2
198 -35 -4.43425E-06 -2
199 -36 -4.45357E-06 -2
200 -37 -4.47048E-06 -2
201 -38 -4.48481E-06 -2
202 -39 -4.49877E-06 -2
203 -40 -4.51097E-06 -2
204 -41 -4.52172E-06 -2
205 -42 -4.53178E-06 -2
206 -43 -4.53978E-06 -2
207 -44 -4.54791E-06 -2
208 -45 -4.55521E-06 -2
209 -46 -4.56223E-06 -2
210 -47 -4.56798E-06 -2
211 -48 -4.57382E-06 -2
212 -49 -4.57886E-06 -2
213 -50 -4.58377E-06 -2
214 -51 -4.58879E-06 -2
215 -52 -4.59314E-06 -2
216 -53 -4.59678E-06 -2
217 -54 -4.60019E-06 -2
218 -55 -4.60446E-06 -2
219 -56 -4.60758E-06 -2
220 -57 -4.61107E-06 -2
221 -58 -4.61398E-06 -2
222 -59 -4.61696E-06 -2
223 -60 -4.61993E-06 -2
224 -61 -4.62318E-06 -2
225 -62 -4.62536E-06 -2
226 -63 -4.62735E-06 -2
227 -64 -4.62988E-06 -2
228 -65 -4.63183E-06 -2
