FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VG
 V A V
1 0 -6.41E-10 0
2 -1 -1.83039E-07 0
3 -2 -3.52119E-07 0
4 -3 -5.09684E-07 0
5 -4 -6.55083E-07 0
6 -5 -7.90134E-07 0
7 -6 -9.14562E-07 0
8 -7 -1.02924E-06 0
9 -8 -1.13152E-06 0
10 -9 -1.22542E-06 0
11 -10 -1.3108E-06 0
12 -11 -1.38845E-06 0
13 -12 -1.45878E-06 0
14 -13 -1.52196E-06 0
15 -14 -1.5787E-06 0
16 -15 -1.62976E-06 0
17 -16 -1.67517E-06 0
18 -17 -1.71585E-06 0
19 -18 -1.75183E-06 0
20 -19 -1.78375E-06 0
21 -20 -1.81202E-06 0
22 -21 -1.83709E-06 0
23 -22 -1.85912E-06 0
24 -23 -1.87852E-06 0
25 -24 -1.89584E-06 0
26 -25 -1.91127E-06 0
27 -26 -1.92455E-06 0
28 -27 -1.93646E-06 0
29 -28 -1.94701E-06 0
30 -29 -1.95648E-06 0
31 -30 -1.9647E-06 0
32 -31 -1.97249E-06 0
33 -32 -1.9795E-06 0
34 -33 -1.98541E-06 0
35 -34 -1.99115E-06 0
36 -35 -1.99626E-06 0
37 -36 -2.00099E-06 0
38 -37 -2.00544E-06 0
39 -38 -2.00971E-06 0
40 -39 -2.01343E-06 0
41 -40 -2.01729E-06 0
42 -41 -2.02056E-06 0
43 -42 -2.02369E-06 0
44 -43 -2.02687E-06 0
45 -44 -2.02986E-06 0
46 -45 -2.03266E-06 0
47 -46 -2.03549E-06 0
48 -47 -2.03814E-06 0
49 -48 -2.04066E-06 0
50 -49 -2.04302E-06 0
51 -50 -2.04549E-06 0
52 -51 -2.04778E-06 0
53 -52 -2.05042E-06 0
54 -53 -2.05269E-06 0
55 -54 -2.05483E-06 0
56 -55 -2.05734E-06 0
57 -56 -2.05946E-06 0
58 -57 -2.06134E-06 0
59 -58 -2.06359E-06 0
60 -59 -2.06549E-06 0
61 -60 -2.06738E-06 0
62 -61 -2.06946E-06 0
63 -62 -2.07169E-06 0
64 -63 -2.0736E-06 0
65 -64 -2.0756E-06 0
66 -65 -2.07738E-06 0
67 -66 -2.07898E-06 0
68 -67 -2.08083E-06 0
