FET Vds-Id
VDS= -2.5 to -79.5 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VG
 V A V
1 -2.5 -4.24616E-07 0
2 -3.5 -5.79812E-07 0
3 -4.5 -7.28536E-07 0
4 -5.5 -8.70507E-07 0
5 -6.5 -1.007312E-06 0
6 -7.5 -1.13814E-06 0
7 -8.5 -1.26322E-06 0
8 -9.5 -1.37979E-06 0
9 -10.5 -1.49173E-06 0
10 -11.5 -1.59828E-06 0
11 -12.5 -1.70018E-06 0
12 -13.5 -1.79734E-06 0
13 -14.5 -1.89052E-06 0
14 -15.5 -1.97874E-06 0
15 -16.5 -2.06331E-06 0
16 -17.5 -2.14377E-06 0
17 -18.5 -2.22019E-06 0
18 -19.5 -2.2929E-06 0
19 -20.5 -2.36217E-06 0
20 -21.5 -2.428E-06 0
21 -22.5 -2.49028E-06 0
22 -23.5 -2.5495E-06 0
23 -24.5 -2.60518E-06 0
24 -25.5 -2.65771E-06 0
25 -26.5 -2.70744E-06 0
26 -27.5 -2.75435E-06 0
27 -28.5 -2.79818E-06 0
28 -29.5 -2.83918E-06 0
29 -30.5 -2.87773E-06 0
30 -31.5 -2.91358E-06 0
31 -32.5 -2.94683E-06 0
32 -33.5 -2.97827E-06 0
33 -34.5 -3.00746E-06 0
34 -35.5 -3.03442E-06 0
35 -36.5 -3.05932E-06 0
36 -37.5 -3.08295E-06 0
37 -38.5 -3.10398E-06 0
38 -39.5 -3.12389E-06 0
39 -40.5 -3.1427E-06 0
40 -41.5 -3.1593E-06 0
41 -42.5 -3.17495E-06 0
42 -43.5 -3.18963E-06 0
43 -44.5 -3.20376E-06 0
44 -45.5 -3.21622E-06 0
45 -46.5 -3.22773E-06 0
46 -47.5 -3.23856E-06 0
47 -48.5 -3.24855E-06 0
48 -49.5 -3.25811E-06 0
49 -50.5 -3.26693E-06 0
50 -51.5 -3.27512E-06 0
51 -52.5 -3.28314E-06 0
52 -53.5 -3.29067E-06 0
53 -54.5 -3.29823E-06 0
54 -55.5 -3.30489E-06 0
55 -56.5 -3.31113E-06 0
56 -57.5 -3.31773E-06 0
57 -58.5 -3.32312E-06 0
58 -59.5 -3.32865E-06 0
59 -60.5 -3.33462E-06 0
60 -61.5 -3.33919E-06 0
61 -62.5 -3.3443E-06 0
62 -63.5 -3.34891E-06 0
63 -64.5 -3.35392E-06 0
64 -65.5 -3.35845E-06 0
65 -66.5 -3.36237E-06 0
66 -67.5 -3.36699E-06 0
67 -68.5 -3.37057E-06 0
68 -69.5 -3.37465E-06 0
69 -70.5 -3.37893E-06 0
70 -71.5 -3.3821E-06 0
71 -72.5 -3.38577E-06 0
72 -73.5 -3.38938E-06 0
73 -74.5 -3.39289E-06 0
74 -75.5 -3.39599E-06 0
75 -76.5 -3.39935E-06 0
76 -77.5 -3.40306E-06 0
77 -78.5 -3.40591E-06 0
78 -79.5 -3.40919E-06 0
79 -2.5 -4.7875E-07 -1
80 -3.5 -6.52984E-07 -1
81 -4.5 -8.17245E-07 -1
82 -5.5 -9.71975E-07 -1
83 -6.5 -1.1205E-06 -1
84 -7.5 -1.26497E-06 -1
85 -8.5 -1.4008E-06 -1
86 -9.5 -1.52902E-06 -1
87 -10.5 -1.65217E-06 -1
88 -11.5 -1.76898E-06 -1
89 -12.5 -1.88058E-06 -1
90 -13.5 -1.98662E-06 -1
91 -14.5 -2.08835E-06 -1
92 -15.5 -2.18461E-06 -1
93 -16.5 -2.27667E-06 -1
94 -17.5 -2.36383E-06 -1
95 -18.5 -2.44658E-06 -1
96 -19.5 -2.52498E-06 -1
97 -20.5 -2.59989E-06 -1
98 -21.5 -2.67087E-06 -1
99 -22.5 -2.73747E-06 -1
100 -23.5 -2.80102E-06 -1
101 -24.5 -2.86102E-06 -1
102 -25.5 -2.9172E-06 -1
103 -26.5 -2.97031E-06 -1
104 -27.5 -3.02009E-06 -1
105 -28.5 -3.06706E-06 -1
106 -29.5 -3.11042E-06 -1
107 -30.5 -3.15116E-06 -1
108 -31.5 -3.18911E-06 -1
109 -32.5 -3.2246E-06 -1
110 -33.5 -3.2576E-06 -1
111 -34.5 -3.28766E-06 -1
112 -35.5 -3.31581E-06 -1
113 -36.5 -3.34197E-06 -1
114 -37.5 -3.36581E-06 -1
115 -38.5 -3.3877E-06 -1
116 -39.5 -3.40864E-06 -1
117 -40.5 -3.42706E-06 -1
118 -41.5 -3.44463E-06 -1
119 -42.5 -3.46027E-06 -1
120 -43.5 -3.4748E-06 -1
121 -44.5 -3.4886E-06 -1
122 -45.5 -3.5008E-06 -1
123 -46.5 -3.51189E-06 -1
124 -47.5 -3.52285E-06 -1
125 -48.5 -3.5328E-06 -1
126 -49.5 -3.54195E-06 -1
127 -50.5 -3.55018E-06 -1
128 -51.5 -3.55784E-06 -1
129 -52.5 -3.56536E-06 -1
130 -53.5 -3.5727E-06 -1
131 -54.5 -3.57886E-06 -1
132 -55.5 -3.58497E-06 -1
133 -56.5 -3.59058E-06 -1
134 -57.5 -3.59623E-06 -1
135 -58.5 -3.60158E-06 -1
136 -59.5 -3.60635E-06 -1
137 -60.5 -3.6113E-06 -1
138 -61.5 -3.61547E-06 -1
139 -62.5 -3.61946E-06 -1
140 -63.5 -3.62363E-06 -1
141 -64.5 -3.62776E-06 -1
142 -65.5 -3.63169E-06 -1
143 -66.5 -3.63567E-06 -1
144 -67.5 -3.63877E-06 -1
145 -68.5 -3.64208E-06 -1
146 -69.5 -3.646E-06 -1
147 -70.5 -3.64918E-06 -1
148 -71.5 -3.65222E-06 -1
149 -72.5 -3.65544E-06 -1
150 -73.5 -3.65831E-06 -1
151 -74.5 -3.66134E-06 -1
152 -75.5 -3.66348E-06 -1
153 -76.5 -3.66659E-06 -1
154 -77.5 -3.66901E-06 -1
155 -78.5 -3.67203E-06 -1
156 -79.5 -3.67454E-06 -1
157 -2.5 -5.08792E-07 -2
158 -3.5 -6.95197E-07 -2
159 -4.5 -8.68752E-07 -2
160 -5.5 -1.03372E-06 -2
161 -6.5 -1.19651E-06 -2
162 -7.5 -1.3475E-06 -2
163 -8.5 -1.49193E-06 -2
164 -9.5 -1.62887E-06 -2
165 -10.5 -1.76029E-06 -2
166 -11.5 -1.88469E-06 -2
167 -12.5 -2.0038E-06 -2
168 -13.5 -2.11729E-06 -2
169 -14.5 -2.22548E-06 -2
170 -15.5 -2.32869E-06 -2
171 -16.5 -2.42773E-06 -2
172 -17.5 -2.5211E-06 -2
173 -18.5 -2.61008E-06 -2
174 -19.5 -2.69433E-06 -2
175 -20.5 -2.77486E-06 -2
176 -21.5 -2.85031E-06 -2
177 -22.5 -2.92207E-06 -2
178 -23.5 -2.99052E-06 -2
179 -24.5 -3.05461E-06 -2
180 -25.5 -3.11515E-06 -2
181 -26.5 -3.17262E-06 -2
182 -27.5 -3.22628E-06 -2
183 -28.5 -3.27648E-06 -2
184 -29.5 -3.32403E-06 -2
185 -30.5 -3.36814E-06 -2
186 -31.5 -3.40903E-06 -2
187 -32.5 -3.44738E-06 -2
188 -33.5 -3.48328E-06 -2
189 -34.5 -3.5157E-06 -2
190 -35.5 -3.54663E-06 -2
191 -36.5 -3.57495E-06 -2
192 -37.5 -3.60082E-06 -2
193 -38.5 -3.6254E-06 -2
194 -39.5 -3.64757E-06 -2
195 -40.5 -3.66805E-06 -2
196 -41.5 -3.68661E-06 -2
197 -42.5 -3.70386E-06 -2
198 -43.5 -3.71987E-06 -2
199 -44.5 -3.73383E-06 -2
200 -45.5 -3.74712E-06 -2
201 -46.5 -3.75969E-06 -2
202 -47.5 -3.7705E-06 -2
203 -48.5 -3.781E-06 -2
204 -49.5 -3.79064E-06 -2
205 -50.5 -3.79955E-06 -2
206 -51.5 -3.80775E-06 -2
207 -52.5 -3.81539E-06 -2
208 -53.5 -3.82271E-06 -2
209 -54.5 -3.82934E-06 -2
210 -55.5 -3.8358E-06 -2
211 -56.5 -3.84156E-06 -2
212 -57.5 -3.84707E-06 -2
213 -58.5 -3.85222E-06 -2
214 -59.5 -3.85729E-06 -2
215 -60.5 -3.86186E-06 -2
216 -61.5 -3.86649E-06 -2
217 -62.5 -3.87082E-06 -2
218 -63.5 -3.8743E-06 -2
219 -64.5 -3.87832E-06 -2
220 -65.5 -3.88186E-06 -2
221 -66.5 -3.88567E-06 -2
222 -67.5 -3.88917E-06 -2
223 -68.5 -3.89234E-06 -2
224 -69.5 -3.89578E-06 -2
225 -70.5 -3.89908E-06 -2
226 -71.5 -3.90196E-06 -2
227 -72.5 -3.90548E-06 -2
228 -73.5 -3.90833E-06 -2
229 -74.5 -3.91145E-06 -2
230 -75.5 -3.91445E-06 -2
231 -76.5 -3.91694E-06 -2
232 -77.5 -3.9193E-06 -2
233 -78.5 -3.92152E-06 -2
234 -79.5 -3.92424E-06 -2
235 -2.5 -5.31026E-07 -3
236 -3.5 -7.26262E-07 -3
237 -4.5 -9.08659E-07 -3
238 -5.5 -1.08191E-06 -3
239 -6.5 -1.2528E-06 -3
240 -7.5 -1.41168E-06 -3
241 -8.5 -1.5641E-06 -3
242 -9.5 -1.70864E-06 -3
243 -10.5 -1.84702E-06 -3
244 -11.5 -1.97877E-06 -3
245 -12.5 -2.10506E-06 -3
246 -13.5 -2.22532E-06 -3
247 -14.5 -2.34058E-06 -3
248 -15.5 -2.45008E-06 -3
249 -16.5 -2.55482E-06 -3
250 -17.5 -2.65411E-06 -3
251 -18.5 -2.7492E-06 -3
252 -19.5 -2.83895E-06 -3
253 -20.5 -2.92492E-06 -3
254 -21.5 -3.00613E-06 -3
255 -22.5 -3.08306E-06 -3
256 -23.5 -3.15646E-06 -3
257 -24.5 -3.22549E-06 -3
258 -25.5 -3.29068E-06 -3
259 -26.5 -3.3525E-06 -3
260 -27.5 -3.41046E-06 -3
261 -28.5 -3.46493E-06 -3
262 -29.5 -3.51628E-06 -3
263 -30.5 -3.5637E-06 -3
264 -31.5 -3.60877E-06 -3
265 -32.5 -3.65025E-06 -3
266 -33.5 -3.68948E-06 -3
267 -34.5 -3.72545E-06 -3
268 -35.5 -3.75905E-06 -3
269 -36.5 -3.79002E-06 -3
270 -37.5 -3.81884E-06 -3
271 -38.5 -3.84567E-06 -3
272 -39.5 -3.86984E-06 -3
273 -40.5 -3.89198E-06 -3
274 -41.5 -3.91295E-06 -3
275 -42.5 -3.93159E-06 -3
276 -43.5 -3.94936E-06 -3
277 -44.5 -3.96574E-06 -3
