FET	Vds-Id					
VDS=	0	to	-80	in	-1	step
VG=	0	to	-80	in	-1	step
NO.	VDS	ID	VG			
	V	A	V			
1	0	-6.53E-10	0			
2	-1	-2.14E-07	0			
3	-2	-4.16E-07	0			
4	-3	-6.10E-07	0			
5	-4	-7.95E-07	0			
6	-5	-9.73E-07	0			
7	-6	-1.14E-06	0			
8	-7	-1.31E-06	0			
9	-8	-1.46E-06	0			
10	-9	-1.61E-06	0			
11	-10	-1.75E-06	0			
12	-11	-1.88E-06	0			
13	-12	-2.01E-06	0			
14	-13	-2.13E-06	0			
15	-14	-2.25E-06	0			
16	-15	-2.36E-06	0			
17	-16	-2.47E-06	0			
18	-17	-2.57E-06	0			
19	-18	-2.67E-06	0			
20	-19	-2.76E-06	0			
21	-20	-2.85E-06	0			
22	-21	-2.93E-06	0			
23	-22	-3.01E-06	0			
24	-23	-3.09E-06	0			
25	-24	-3.16E-06	0			
26	-25	-3.23E-06	0			
27	-26	-3.29E-06	0			
28	-27	-3.35E-06	0			
29	-28	-3.41E-06	0			
30	-29	-3.46E-06	0			
31	-30	-3.51E-06	0			
32	-31	-3.55E-06	0			
33	-32	-3.60E-06	0			
34	-33	-3.64E-06	0			
35	-34	-3.67E-06	0			
36	-35	-3.71E-06	0			
37	-36	-3.74E-06	0			
38	-37	-3.77E-06	0			
39	-38	-3.80E-06	0			
40	-39	-3.83E-06	0			
41	-40	-3.85E-06	0			
42	-41	-3.87E-06	0			
43	-42	-3.89E-06	0			
44	-43	-3.91E-06	0			
45	-44	-3.93E-06	0			
46	-45	-3.94E-06	0			
47	-46	-3.96E-06	0			
48	-47	-3.97E-06	0			
49	-48	-3.99E-06	0			
50	-49	-4.00E-06	0			
51	-50	-4.01E-06	0			
52	-51	-4.02E-06	0			
53	-52	-4.03E-06	0			
54	-53	-4.04E-06	0			
55	-54	-4.05E-06	0			
56	-55	-4.06E-06	0			
57	-56	-4.06E-06	0			
58	-57	-4.07E-06	0			
59	-58	-4.08E-06	0			
60	-59	-4.08E-06	0			
61	-60	-4.09E-06	0			
62	-61	-4.10E-06	0			
63	-62	-4.10E-06	0			
64	-63	-4.11E-06	0			
65	-64	-4.11E-06	0			
66	-65	-4.12E-06	0			
67	-66	-4.12E-06	0			
68	-67	-4.13E-06	0			
69	-68	-4.13E-06	0			
70	-69	-4.13E-06	0			
71	-70	-4.14E-06	0			
72	-71	-4.14E-06	0			
73	-72	-4.15E-06	0			
74	-73	-4.15E-06	0			
75	-74	-4.15E-06	0			
76	-75	-4.16E-06	0			
77	-76	-4.16E-06	0			
78	-77	-4.16E-06	0			
79	-78	-4.17E-06	0			
80	-79	-4.17E-06	0			
81	-80	-4.17E-06	0			
82	0	8.11E-09	-1			
83	-1	-2.36E-07	-1			
84	-2	-4.61E-07	-1			
85	-3	-6.75E-07	-1			
86	-4	-8.77E-07	-1			
87	-5	-1.07E-06	-1			
88	-6	-1.26E-06	-1			
89	-7	-1.44E-06	-1			
90	-8	-1.61E-06	-1			
91	-9	-1.77E-06	-1			
92	-10	-1.92E-06	-1			
93	-11	-2.07E-06	-1			
94	-12	-2.21E-06	-1			
95	-13	-2.35E-06	-1			
96	-14	-2.48E-06	-1			
97	-15	-2.60E-06	-1			
98	-16	-2.72E-06	-1			
99	-17	-2.83E-06	-1			
100	-18	-2.94E-06	-1			
101	-19	-3.04E-06	-1			
102	-20	-3.14E-06	-1			
103	-21	-3.23E-06	-1			
104	-22	-3.31E-06	-1			
105	-23	-3.40E-06	-1			
106	-24	-3.47E-06	-1			
107	-25	-3.55E-06	-1			
108	-26	-3.62E-06	-1			
109	-27	-3.68E-06	-1			
110	-28	-3.74E-06	-1			
111	-29	-3.80E-06	-1			
112	-30	-3.85E-06	-1			
113	-31	-3.90E-06	-1			
114	-32	-3.95E-06	-1			
115	-33	-3.99E-06	-1			
116	-34	-4.03E-06	-1			
117	-35	-4.07E-06	-1			
118	-36	-4.10E-06	-1			
119	-37	-4.14E-06	-1			
120	-38	-4.17E-06	-1			
121	-39	-4.19E-06	-1			
122	-40	-4.22E-06	-1			
123	-41	-4.24E-06	-1			
124	-42	-4.26E-06	-1			
125	-43	-4.28E-06	-1			
126	-44	-4.30E-06	-1			
127	-45	-4.32E-06	-1			
128	-46	-4.33E-06	-1			
129	-47	-4.35E-06	-1			
130	-48	-4.36E-06	-1			
131	-49	-4.37E-06	-1			
132	-50	-4.38E-06	-1			
133	-51	-4.39E-06	-1			
134	-52	-4.40E-06	-1			
135	-53	-4.41E-06	-1			
136	-54	-4.42E-06	-1			
137	-55	-4.43E-06	-1			
138	-56	-4.43E-06	-1			
139	-57	-4.44E-06	-1			
140	-58	-4.45E-06	-1			
141	-59	-4.45E-06	-1			
142	-60	-4.46E-06	-1			
143	-61	-4.46E-06	-1			
144	-62	-4.47E-06	-1			
145	-63	-4.47E-06	-1			
146	-64	-4.47E-06	-1			
147	-65	-4.48E-06	-1			
148	-66	-4.48E-06	-1			
149	-67	-4.49E-06	-1			
150	-68	-4.49E-06	-1			
151	-69	-4.49E-06	-1			
152	-70	-4.50E-06	-1			
153	-71	-4.50E-06	-1			
154	-72	-4.50E-06	-1			
155	-73	-4.51E-06	-1			
156	-74	-4.51E-06	-1			
157	-75	-4.51E-06	-1			
158	-76	-4.51E-06	-1			
159	-77	-4.52E-06	-1			
160	-78	-4.52E-06	-1			
161	-79	-4.52E-06	-1			
162	-80	-4.52E-06	-1			
163	0	8.74E-09	-2			
164	-1	-2.47E-07	-2			
165	-2	-4.85E-07	-2			
166	-3	-7.10E-07	-2			
167	-4	-9.24E-07	-2			
168	-5	-1.13E-06	-2			
169	-6	-1.33E-06	-2			
170	-7	-1.52E-06	-2			
171	-8	-1.70E-06	-2			
172	-9	-1.87E-06	-2			
173	-10	-2.03E-06	-2			
174	-11	-2.19E-06	-2			
175	-12	-2.34E-06	-2			
176	-13	-2.49E-06	-2			
177	-14	-2.62E-06	-2			
178	-15	-2.75E-06	-2			
179	-16	-2.88E-06	-2			
180	-17	-3.00E-06	-2			
181	-18	-3.12E-06	-2			
182	-19	-3.23E-06	-2			
183	-20	-3.33E-06	-2			
184	-21	-3.43E-06	-2			
185	-22	-3.52E-06	-2			
186	-23	-3.61E-06	-2			
187	-24	-3.70E-06	-2			
188	-25	-3.78E-06	-2			
189	-26	-3.85E-06	-2			
190	-27	-3.92E-06	-2			
191	-28	-3.99E-06	-2			
192	-29	-4.05E-06	-2			
193	-30	-4.11E-06	-2			
194	-31	-4.16E-06	-2			
195	-32	-4.21E-06	-2			
196	-33	-4.26E-06	-2			
197	-34	-4.31E-06	-2			
198	-35	-4.35E-06	-2			
199	-36	-4.39E-06	-2			
200	-37	-4.42E-06	-2			
201	-38	-4.45E-06	-2			
202	-39	-4.49E-06	-2			
203	-40	-4.51E-06	-2			
204	-41	-4.54E-06	-2			
205	-42	-4.56E-06	-2			
206	-43	-4.58E-06	-2			
207	-44	-4.60E-06	-2			
208	-45	-4.62E-06	-2			
209	-46	-4.64E-06	-2			
210	-47	-4.66E-06	-2			
211	-48	-4.67E-06	-2			
212	-49	-4.68E-06	-2			
213	-50	-4.70E-06	-2			
214	-51	-4.71E-06	-2			
215	-52	-4.72E-06	-2			
216	-53	-4.73E-06	-2			
217	-54	-4.73E-06	-2			
218	-55	-4.74E-06	-2			
219	-56	-4.75E-06	-2			
220	-57	-4.76E-06	-2			
221	-58	-4.76E-06	-2			
222	-59	-4.77E-06	-2			
223	-60	-4.77E-06	-2			
224	-61	-4.78E-06	-2			
225	-62	-4.78E-06	-2			
226	-63	-4.79E-06	-2			
227	-64	-4.79E-06	-2			
228	-65	-4.80E-06	-2			
229	-66	-4.80E-06	-2			
230	-67	-4.80E-06	-2			
231	-68	-4.81E-06	-2			
232	-69	-4.81E-06	-2			
233	-70	-4.81E-06	-2			
234	-71	-4.82E-06	-2			
235	-72	-4.82E-06	-2			
236	-73	-4.82E-06	-2			
237	-74	-4.83E-06	-2			
238	-75	-4.83E-06	-2			
239	-76	-4.83E-06	-2			
240	-77	-4.83E-06	-2			
241	-78	-4.84E-06	-2			
242	-79	-4.84E-06	-2			
243	-80	-4.84E-06	-2			
244	0	1.04E-08	-3			
245	-1	-2.57E-07	-3			
246	-2	-5.05E-07	-3			
247	-3	-7.41E-07	-3			
248	-4	-9.64E-07	-3			
249	-5	-1.18E-06	-3			
250	-6	-1.39E-06	-3			
251	-7	-1.59E-06	-3			
252	-8	-1.77E-06	-3			
253	-9	-1.96E-06	-3			
254	-10	-2.13E-06	-3			
255	-11	-2.29E-06	-3			
256	-12	-2.45E-06	-3			
257	-13	-2.61E-06	-3			
258	-14	-2.75E-06	-3			
259	-15	-2.89E-06	-3			
260	-16	-3.03E-06	-3			
261	-17	-3.15E-06	-3			
262	-18	-3.28E-06	-3			
263	-19	-3.39E-06	-3			
264	-20	-3.50E-06	-3			
265	-21	-3.61E-06	-3			
266	-22	-3.71E-06	-3			
267	-23	-3.81E-06	-3			
268	-24	-3.90E-06	-3			
269	-25	-3.98E-06	-3			
270	-26	-4.06E-06	-3			
271	-27	-4.14E-06	-3			
272	-28	-4.21E-06	-3			
273	-29	-4.28E-06	-3			
274	-30	-4.34E-06	-3			
275	-31	-4.40E-06	-3			
276	-32	-4.46E-06	-3			
277	-33	-4.51E-06	-3			
278	-34	-4.56E-06	-3			
279	-35	-4.61E-06	-3			
280	-36	-4.65E-06	-3			
281	-37	-4.69E-06	-3			
282	-38	-4.72E-06	-3			
283	-39	-4.76E-06	-3			
284	-40	-4.79E-06	-3			
285	-41	-4.82E-06	-3			
286	-42	-4.84E-06	-3			
287	-43	-4.87E-06	-3			
288	-44	-4.89E-06	-3			
289	-45	-4.91E-06	-3			
290	-46	-4.93E-06	-3			
291	-47	-4.95E-06	-3			
292	-48	-4.96E-06	-3			
293	-49	-4.98E-06	-3			
294	-50	-4.99E-06	-3			
295	-51	-5.01E-06	-3			
296	-52	-5.02E-06	-3			
297	-53	-5.03E-06	-3			
298	-54	-5.04E-06	-3			
299	-55	-5.04E-06	-3			
300	-56	-5.05E-06	-3			
