FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VG
 V A V
1 0 -5.126E-10 0
2 -1 -1.95581E-07 0
3 -2 -3.80821E-07 0
4 -3 -5.5771E-07 0
5 -4 -7.25662E-07 0
6 -5 -8.86354E-07 0
7 -6 -1.03867E-06 0
8 -7 -1.18398E-06 0
9 -8 -1.32194E-06 0
10 -9 -1.45408E-06 0
11 -10 -1.57961E-06 0
12 -11 -1.69985E-06 0
13 -12 -1.81503E-06 0
14 -13 -1.92443E-06 0
15 -14 -2.02922E-06 0
16 -15 -2.12864E-06 0
17 -16 -2.22395E-06 0
18 -17 -2.31447E-06 0
19 -18 -2.40072E-06 0
20 -19 -2.48231E-06 0
21 -20 -2.56046E-06 0
22 -21 -2.63413E-06 0
23 -22 -2.70379E-06 0
24 -23 -2.76989E-06 0
25 -24 -2.8328E-06 0
26 -25 -2.89145E-06 0
27 -26 -2.94693E-06 0
28 -27 -2.99901E-06 0
29 -28 -3.0481E-06 0
30 -29 -3.09379E-06 0
31 -30 -3.13718E-06 0
32 -31 -3.17731E-06 0
33 -32 -3.21496E-06 0
34 -33 -3.24955E-06 0
35 -34 -3.28248E-06 0
36 -35 -3.31263E-06 0
37 -36 -3.34092E-06 0
38 -37 -3.36708E-06 0
39 -38 -3.39058E-06 0
40 -39 -3.41264E-06 0
41 -40 -3.43303E-06 0
42 -41 -3.45193E-06 0
43 -42 -3.46911E-06 0
44 -43 -3.48552E-06 0
45 -44 -3.49991E-06 0
46 -45 -3.51311E-06 0
47 -46 -3.52569E-06 0
48 -47 -3.53686E-06 0
49 -48 -3.54746E-06 0
50 -49 -3.55678E-06 0
51 -50 -3.56577E-06 0
52 -51 -3.57359E-06 0
53 -52 -3.58132E-06 0
54 -53 -3.58829E-06 0
55 -54 -3.59473E-06 0
56 -55 -3.60067E-06 0
57 -56 -3.60615E-06 0
58 -57 -3.61133E-06 0
59 -58 -3.6165E-06 0
60 -59 -3.62097E-06 0
61 -60 -3.62501E-06 0
62 -61 -3.62916E-06 0
63 -62 -3.63296E-06 0
64 -63 -3.63676E-06 0
65 -64 -3.64044E-06 0
66 -65 -3.6435E-06 0
67 -66 -3.64709E-06 0
68 -67 -3.64979E-06 0
69 -68 -3.65271E-06 0
70 -69 -3.65544E-06 0
71 -70 -3.65788E-06 0
72 -71 -3.66084E-06 0
73 -72 -3.66328E-06 0
74 -73 -3.66548E-06 0
75 -74 -3.66773E-06 0
76 -75 -3.66995E-06 0
77 -76 -3.6723E-06 0
78 -77 -3.67457E-06 0
79 -78 -3.67668E-06 0
80 -79 -3.67905E-06 0
81 -80 -3.68158E-06 0
82 0 1.5742E-09 -1
83 -1 -2.14143E-07 -1
84 -2 -4.16689E-07 -1
85 -3 -6.0935E-07 -1
86 -4 -7.91497E-07 -1
87 -5 -9.65373E-07 -1
88 -6 -1.13025E-06 -1
89 -7 -1.2889E-06 -1
90 -8 -1.43891E-06 -1
91 -9 -1.58259E-06 -1
92 -10 -1.7191E-06 -1
93 -11 -1.85036E-06 -1
94 -12 -1.97531E-06 -1
95 -13 -2.09444E-06 -1
96 -14 -2.20849E-06 -1
97 -15 -2.31718E-06 -1
98 -16 -2.42068E-06 -1
99 -17 -2.51916E-06 -1
100 -18 -2.61335E-06 -1
101 -19 -2.7022E-06 -1
102 -20 -2.78739E-06 -1
103 -21 -2.86762E-06 -1
104 -22 -2.94415E-06 -1
105 -23 -3.01649E-06 -1
106 -24 -3.08508E-06 -1
107 -25 -3.14946E-06 -1
108 -26 -3.21017E-06 -1
109 -27 -3.2675E-06 -1
110 -28 -3.32136E-06 -1
111 -29 -3.37215E-06 -1
112 -30 -3.41957E-06 -1
113 -31 -3.4636E-06 -1
114 -32 -3.50486E-06 -1
115 -33 -3.54304E-06 -1
116 -34 -3.57861E-06 -1
117 -35 -3.61185E-06 -1
118 -36 -3.6428E-06 -1
119 -37 -3.67145E-06 -1
120 -38 -3.69788E-06 -1
121 -39 -3.72214E-06 -1
122 -40 -3.74419E-06 -1
123 -41 -3.76541E-06 -1
124 -42 -3.78384E-06 -1
125 -43 -3.80155E-06 -1
126 -44 -3.81725E-06 -1
127 -45 -3.83158E-06 -1
128 -46 -3.84473E-06 -1
129 -47 -3.85654E-06 -1
130 -48 -3.86793E-06 -1
131 -49 -3.87817E-06 -1
132 -50 -3.8873E-06 -1
133 -51 -3.89546E-06 -1
134 -52 -3.90281E-06 -1
135 -53 -3.90991E-06 -1
136 -54 -3.91664E-06 -1
137 -55 -3.92223E-06 -1
138 -56 -3.92756E-06 -1
139 -57 -3.93274E-06 -1
140 -58 -3.93746E-06 -1
141 -59 -3.94172E-06 -1
142 -60 -3.94587E-06 -1
143 -61 -3.94949E-06 -1
144 -62 -3.9529E-06 -1
145 -63 -3.95624E-06 -1
146 -64 -3.95933E-06 -1
147 -65 -3.96287E-06 -1
148 -66 -3.9653E-06 -1
149 -67 -3.96832E-06 -1
150 -68 -3.97085E-06 -1
151 -69 -3.97294E-06 -1
152 -70 -3.9752E-06 -1
153 -71 -3.97693E-06 -1
154 -72 -3.97952E-06 -1
155 -73 -3.98173E-06 -1
156 -74 -3.98353E-06 -1
157 -75 -3.98545E-06 -1
158 -76 -3.98767E-06 -1
159 -77 -3.98923E-06 -1
