FET Vds-Id
VDS= 0 to -80 in -1 step
VG= 0 to -80 in -1 step
NO. VDS ID VG
 V A V
1 0 -1.1937E-09 0
2 -1 -4.08986E-07 0
3 -2 -8.0283E-07 0
4 -3 -1.18694E-06 0
5 -4 -1.56131E-06 0
6 -5 -1.92079E-06 0
7 -6 -2.26835E-06 0
8 -7 -2.60735E-06 0
9 -8 -2.93594E-06 0
10 -9 -3.25666E-06 0
11 -10 -3.56719E-06 0
12 -11 -3.87154E-06 0
13 -12 -4.16668E-06 0
14 -13 -4.45333E-06 0
15 -14 -4.73416E-06 0
16 -15 -5.00615E-06 0
17 -16 -5.27279E-06 0
18 -17 -5.53105E-06 0
19 -18 -5.78361E-06 0
20 -19 -6.02783E-06 0
21 -20 -6.26769E-06 0
22 -21 -6.49975E-06 0
23 -22 -6.72585E-06 0
24 -23 -6.94585E-06 0
25 -24 -7.15937E-06 0
26 -25 -7.36672E-06 0
27 -26 -7.56828E-06 0
28 -27 -7.7621E-06 0
29 -28 -7.95979E-06 0
30 -29 -8.16644E-06 0
31 -30 -8.36336E-06 0
32 -31 -8.55267E-06 0
33 -32 -8.73546E-06 0
34 -33 -8.91022E-06 0
35 -34 -9.08007E-06 0
36 -35 -9.24314E-06 0
37 -36 -9.39954E-06 0
38 -37 -9.55206E-06 0
39 -38 -9.69796E-06 0
40 -39 -9.83852E-06 0
41 -40 -9.97369E-06 0
42 -41 -1.01009E-05 0
43 -42 -1.02033E-05 0
44 -43 -1.03052E-05 0
45 -44 -1.04037E-05 0
46 -45 -1.04973E-05 0
47 -46 -1.05869E-05 0
48 -47 -1.06732E-05 0
49 -48 -1.07559E-05 0
50 -49 -1.08346E-05 0
51 -50 -1.09099E-05 0
52 -51 -1.09829E-05 0
53 -52 -1.1051E-05 0
54 -53 -1.11154E-05 0
55 -54 -1.11781E-05 0
56 -55 -1.12376E-05 0
57 -56 -1.12931E-05 0
58 -57 -1.13466E-05 0
59 -58 -1.13973E-05 0
60 -59 -1.14461E-05 0
61 -60 -1.14916E-05 0
62 -61 -1.15362E-05 0
63 -62 -1.15768E-05 0
64 -63 -1.16165E-05 0
65 -64 -1.16542E-05 0
66 -65 -1.169E-05 0
67 -66 -1.17241E-05 0
68 -67 -1.17579E-05 0
69 -68 -1.17883E-05 0
70 -69 -1.18182E-05 0
71 -70 -1.18472E-05 0
72 -71 -1.18743E-05 0
73 -72 -1.19004E-05 0
74 -73 -1.19258E-05 0
75 -74 -1.19499E-05 0
76 -75 -1.19733E-05 0
77 -76 -1.19963E-05 0
78 -77 -1.20178E-05 0
79 -78 -1.20386E-05 0
80 -79 -1.20596E-05 0
81 -80 -1.20785E-05 0
82 0 6.0421E-09 -1
83 -1 -4.5901E-07 -1
84 -2 -8.94819E-07 -1
85 -3 -1.31528E-06 -1
86 -4 -1.72665E-06 -1
87 -5 -2.12253E-06 -1
88 -6 -2.50354E-06 -1
89 -7 -2.8747E-06 -1
90 -8 -3.23375E-06 -1
91 -9 -3.58315E-06 -1
92 -10 -3.92154E-06 -1
93 -11 -4.25228E-06 -1
94 -12 -4.57323E-06 -1
95 -13 -4.88416E-06 -1
96 -14 -5.18673E-06 -1
97 -15 -5.48082E-06 -1
98 -16 -5.76761E-06 -1
99 -17 -6.04581E-06 -1
100 -18 -6.31725E-06 -1
101 -19 -6.58014E-06 -1
102 -20 -6.8365E-06 -1
103 -21 -7.08501E-06 -1
104 -22 -7.32767E-06 -1
105 -23 -7.5619E-06 -1
106 -24 -7.7897E-06 -1
107 -25 -8.02559E-06 -1
108 -26 -8.2508E-06 -1
109 -27 -8.46618E-06 -1
110 -28 -8.67612E-06 -1
111 -29 -8.87751E-06 -1
112 -30 -9.07249E-06 -1
113 -31 -9.2604E-06 -1
114 -32 -9.44296E-06 -1
115 -33 -9.61826E-06 -1
